DATE(DD/MM/YY),TIME(hh:mm:ss),CAN-LATITUDE,CAN-LONGITUDE,CAN-ALTITUDE,CAN-ENGINERUNHOURS,CAN-FUEL-RATE,CAN-LOAD%,CAN-RPM,CAN-T-COOLANT,CAN P-OIL,CAN P-OIL.1,CAN-P-INTAKE,CAN-BATTERY VOLT
04/06/2026,15:10:59,489876923,22746153,77887,12054.3,6.4,74.4,871,81.6,4.4,5.0,2.1,24.3
04/06/2026,15:11:29,489915384,22719230,95573,12054.3,5.5,47.6,925,92.8,4.4,3.8,1.2,27.1
04/06/2026,15:11:59,489953846,22692307,111010,12054.3,4.9,63.5,903,92.6,3.9,5.1,1.3,24.6
04/06/2026,15:12:29,489992307,22665384,113557,12054.3,7.1,79.7,998,91.7,4.0,3.6,1.6,25.2
04/06/2026,15:12:59,490030769,22638461,77193,12054.3,6.5,47.0,1107,84.4,4.5,4.6,1.2,26.5
04/06/2026,15:13:29,490069230,22611538,35260,12054.4,5.3,65.7,1326,83.8,3.8,4.3,1.3,25.6
04/06/2026,15:13:59,490107692,22584615,53986,12054.4,5.1,71.7,1793,78.7,4.7,4.2,1.7,25.2
04/06/2026,15:14:29,490146153,22557692,60286,12054.4,6.3,72.5,1765,94.8,4.5,5.5,1.4,25.0
04/06/2026,15:14:59,490184615,22530769,20508,12054.4,7.1,54.3,1647,86.9,4.1,5.4,2.3,26.3
04/06/2026,15:15:29,490223076,22503846,115005,12054.4,5.9,46.7,1686,89.7,5.3,3.9,1.7,24.5
04/06/2026,15:15:59,490261538,22476923,40061,12054.4,7.4,75.4,1758,88.6,4.7,5.4,1.2,26.1
04/06/2026,15:16:29,490300000,22450000,69988,12054.4,7.5,68.7,1242,75.2,4.9,4.5,2.0,25.4
04/06/2026,15:16:59,490300000,22450000,47751,12054.4,5.0,67.9,1695,85.4,4.8,5.0,1.7,27.9
04/06/2026,15:17:29,490338461,22426923,68382,12054.4,5.0,49.7,1341,79.8,4.6,5.2,1.6,28.0
04/06/2026,15:17:59,490376923,22403846,64204,12054.4,7.0,74.6,1084,75.5,3.7,5.1,2.0,27.0
04/06/2026,15:18:29,490415384,22380769,79695,12054.5,4.7,58.6,1777,87.4,5.0,5.4,1.5,27.2
04/06/2026,15:18:59,490453846,22357692,30054,12054.5,5.8,59.6,1718,86.4,5.2,3.8,1.8,25.3
04/06/2026,15:19:29,490492307,22334615,78668,12054.5,7.2,77.4,1654,81.9,3.8,4.3,1.2,27.5
04/06/2026,15:19:59,490530769,22311538,101521,12054.5,4.6,77.8,1553,84.7,4.8,5.4,1.1,26.5
04/06/2026,15:20:29,490569230,22288461,112598,12054.5,6.1,52.6,1040,75.4,4.9,4.9,1.4,24.8
04/06/2026,15:20:59,490607692,22265384,37489,12054.5,5.9,62.1,1440,91.3,3.6,5.3,1.0,25.2
04/06/2026,15:21:29,490646153,22242307,61927,12054.5,5.1,44.9,1206,93.5,4.3,4.3,1.2,24.5
04/06/2026,15:21:59,490684615,22219230,54198,12054.5,5.7,51.4,1132,80.2,4.2,3.7,1.7,27.8
04/06/2026,15:22:29,490723076,22196153,71926,12054.5,5.8,68.1,1551,86.8,4.8,5.4,2.3,28.0
04/06/2026,15:22:59,490761538,22173076,114433,12054.5,5.7,41.5,1772,94.0,5.1,5.3,1.7,27.2
04/06/2026,15:23:29,490800000,22150000,82887,12054.5,5.9,44.5,1334,87.2,5.1,5.3,2.1,26.3
04/06/2026,15:23:59,490800000,22150000,86999,12054.6,6.2,64.6,1118,86.8,5.4,4.5,2.0,24.0
04/06/2026,15:24:29,490838461,22134615,93026,12054.6,6.6,43.5,1356,82.1,3.6,4.5,2.0,26.4
04/06/2026,15:24:59,490876923,22119230,67513,12054.6,6.4,59.8,839,76.5,4.5,4.7,2.3,25.6
04/06/2026,15:25:29,490915384,22103846,91109,12054.6,6.1,73.8,1687,76.6,5.0,5.3,2.3,24.9
04/06/2026,15:25:59,490953846,22088461,114790,12054.6,6.1,44.3,1557,83.2,4.7,4.6,1.3,24.9
04/06/2026,15:26:29,490992307,22073076,53555,12054.6,6.5,60.8,858,88.8,4.9,4.3,1.9,27.6
04/06/2026,15:26:59,491030769,22057692,65721,12054.6,4.7,50.8,1130,79.9,5.0,5.2,2.4,25.8
04/06/2026,15:27:29,491069230,22042307,48689,12054.6,5.5,41.8,1446,88.5,5.0,5.2,1.5,27.3
04/06/2026,15:27:59,491107692,22026923,28686,12054.6,6.1,44.1,1799,79.1,5.4,4.7,2.3,27.6
04/06/2026,15:28:29,491146153,22011538,84302,12054.6,6.9,79.2,1572,79.2,3.8,5.2,1.4,25.3
04/06/2026,15:28:59,491184615,21996153,68894,12054.7,4.8,59.3,1229,79.6,3.7,4.7,2.0,25.5
04/06/2026,15:29:29,491223076,21980769,35492,12054.7,5.6,64.0,919,83.3,3.6,5.4,1.7,25.2
04/06/2026,15:29:59,491261538,21965384,103988,12054.7,5.4,52.7,1379,76.6,3.8,4.7,2.1,27.0
04/06/2026,15:30:29,491300000,21950000,21780,12054.7,6.9,57.4,1551,91.9,3.6,5.4,1.6,27.0
04/06/2026,15:30:59,491300000,21950000,69024,12054.7,5.4,64.4,1017,83.1,3.8,4.6,1.1,26.1
04/06/2026,15:31:29,491338461,21934615,117955,12054.7,6.8,45.9,920,85.8,4.0,4.4,1.9,25.6
04/06/2026,15:31:59,491376923,21919230,79481,12054.7,5.2,42.3,904,88.3,5.2,4.0,1.9,25.8
04/06/2026,15:32:29,491415384,21903846,101739,12054.7,7.2,60.8,1502,81.1,4.8,4.9,1.3,25.0
04/06/2026,15:32:59,491453846,21888461,46432,12054.7,7.4,73.9,1510,78.3,5.5,4.8,1.3,24.1
04/06/2026,15:33:29,491492307,21873076,21925,12054.8,6.4,41.1,1563,83.3,4.9,5.4,1.9,24.1
04/06/2026,15:33:59,491530769,21857692,105630,12054.8,7.3,59.8,1311,84.5,3.9,3.6,2.1,27.0
04/06/2026,15:34:29,491569230,21842307,61292,12054.8,5.3,40.0,1639,94.6,5.0,4.1,1.7,26.8
04/06/2026,15:34:59,491607692,21826923,112256,12054.8,5.4,48.6,1367,79.6,4.3,4.3,1.3,25.0
04/06/2026,15:35:29,491646153,21811538,39037,12054.8,6.2,41.5,933,86.7,3.6,5.4,1.8,27.0
04/06/2026,15:35:59,491684615,21796153,115811,12054.8,6.3,57.4,818,85.2,4.9,4.7,2.4,27.3
04/06/2026,15:36:29,491723076,21780769,74770,12054.8,6.2,60.4,1104,77.4,5.4,4.6,1.9,26.7
04/06/2026,15:36:59,491761538,21765384,109439,12054.8,7.0,56.0,856,86.1,4.5,4.1,1.9,26.4
04/06/2026,15:37:29,491800000,21750000,115178,12054.8,7.2,44.7,1170,88.0,5.4,5.0,2.5,24.8
04/06/2026,15:37:59,491800000,21750000,82011,12054.8,6.6,44.2,1531,91.5,4.9,5.0,1.9,24.8
04/06/2026,15:38:29,491838461,21734615,60750,12054.9,6.7,78.0,1545,85.0,5.4,5.1,1.6,27.4
04/06/2026,15:38:59,491876923,21719230,65418,12054.9,5.1,61.6,1252,92.2,5.5,5.0,1.7,25.3
04/06/2026,15:39:29,491915384,21703846,38331,12054.9,4.8,74.2,1534,90.7,3.8,4.6,1.9,25.6
04/06/2026,15:39:59,491953846,21688461,117113,12054.9,5.9,59.2,1107,88.7,3.7,3.8,2.4,26.5
04/06/2026,15:40:29,491992307,21673076,97135,12054.9,6.8,49.5,1104,78.8,5.5,4.9,1.5,27.4
04/06/2026,15:40:59,492030769,21657692,68131,12054.9,5.5,45.1,1041,91.0,4.2,4.0,1.7,24.2
04/06/2026,15:41:29,492069230,21642307,108435,12054.9,4.9,43.0,1089,93.0,4.0,5.4,1.8,26.3
04/06/2026,15:41:59,492107692,21626923,92154,12054.9,5.8,46.6,915,88.8,4.0,3.9,1.6,25.6
04/06/2026,15:42:29,492146153,21611538,54881,12054.9,7.4,67.2,817,90.5,5.0,3.9,1.0,26.9
04/06/2026,15:42:59,492184615,21596153,56341,12054.9,6.5,48.7,1684,86.6,4.6,4.8,1.7,24.4
04/06/2026,15:43:29,492223076,21580769,45289,12055.0,5.6,55.2,1168,78.4,4.7,4.1,1.4,25.7
04/06/2026,15:43:59,492261538,21565384,56040,12055.0,4.9,62.5,1146,94.5,4.6,4.5,1.5,24.1
04/06/2026,15:44:29,492299999,21549999,40143,12055.0,5.1,77.5,1104,75.3,4.5,4.2,2.4,26.6
04/06/2026,15:44:59,492299999,21549999,20286,12055.0,6.1,44.9,1667,91.9,4.2,4.0,1.3,26.6
04/06/2026,15:45:29,492338461,21540000,74427,12055.0,7.3,46.7,1636,94.8,4.1,3.5,1.3,26.4
04/06/2026,15:45:59,492376923,21530000,81719,12055.0,6.3,50.0,975,81.4,4.3,4.7,1.9,26.6
04/06/2026,15:46:29,492415384,21519999,98753,12055.0,5.3,52.3,1035,93.5,4.1,5.3,2.2,27.3
04/06/2026,15:46:59,492453846,21509999,33389,12055.0,5.0,46.3,1095,87.7,3.6,5.2,1.9,25.0
04/06/2026,15:47:29,492492307,21500000,74248,12055.0,6.4,67.0,1503,82.4,4.4,3.9,1.9,25.4
04/06/2026,15:47:59,492530769,21490000,50009,12055.0,5.7,55.4,1220,91.4,3.9,5.1,2.1,24.4
04/06/2026,15:48:29,492569230,21479999,99244,12055.0,6.0,47.2,993,92.2,3.5,4.9,1.3,25.2
04/06/2026,15:48:59,492607692,21469999,34491,12055.1,7.0,55.4,1043,78.8,4.0,4.0,2.4,27.1
04/06/2026,15:49:29,492646153,21460000,105665,12055.1,6.0,56.6,1781,78.3,4.7,5.1,1.6,27.1
04/06/2026,15:49:59,492684615,21450000,83569,12055.1,5.1,58.2,1630,84.3,3.7,3.9,2.4,24.2
04/06/2026,15:50:29,492723076,21439999,116322,12055.1,4.5,44.2,911,75.8,5.0,4.2,1.7,26.7
04/06/2026,15:50:59,492761538,21429999,70584,12055.1,5.3,56.5,1770,87.1,5.5,4.0,2.0,25.9
04/06/2026,15:51:29,492800000,21420000,110230,12055.1,5.4,58.0,1173,83.9,5.0,4.3,1.6,24.1
04/06/2026,15:51:59,492800000,21420000,74511,12055.1,7.1,46.6,1469,80.2,3.5,4.2,2.4,25.1
04/06/2026,15:52:29,492838461,21412307,53489,12055.1,7.3,61.7,1153,88.3,4.2,5.1,1.1,24.9
04/06/2026,15:52:59,492876923,21404615,94762,12055.1,6.8,50.8,1650,89.0,4.1,4.2,1.9,25.4
04/06/2026,15:53:29,492915384,21396923,103605,12055.1,5.6,48.9,1023,78.9,4.1,4.4,1.1,25.1
04/06/2026,15:53:59,492953846,21389230,88130,12055.2,7.2,58.1,1681,83.9,3.8,5.3,1.1,25.6
04/06/2026,15:54:29,492992307,21381538,88268,12055.2,6.2,43.5,859,91.9,4.7,4.5,2.5,25.1
04/06/2026,15:54:59,493030769,21373846,100743,12055.2,6.3,55.0,1652,79.2,3.9,4.3,1.3,26.2
04/06/2026,15:55:29,493069230,21366153,81105,12055.2,6.0,46.8,1179,83.5,4.2,4.5,2.3,24.6
04/06/2026,15:55:59,493107692,21358461,54964,12055.2,6.5,53.1,1496,81.1,3.8,5.1,2.3,24.3
04/06/2026,15:56:29,493146153,21350769,53694,12055.2,6.8,61.2,1702,80.7,4.7,5.2,2.0,26.2
04/06/2026,15:56:59,493184615,21343076,108100,12055.2,5.6,54.4,856,83.8,4.1,3.7,2.3,27.2
04/06/2026,15:57:29,493223076,21335384,112814,12055.2,6.5,45.7,1696,82.3,4.1,4.5,2.4,24.6
04/06/2026,15:57:59,493261538,21327692,77750,12055.2,6.6,69.0,1017,86.5,4.4,4.1,1.9,26.0
04/06/2026,15:58:29,493300000,21320000,37698,12055.2,5.4,40.5,1611,77.4,3.7,5.2,1.3,27.8
04/06/2026,15:58:59,493300000,21320000,66256,12055.3,5.8,43.4,894,78.2,5.3,4.2,1.7,26.3
04/06/2026,15:59:29,493338461,21314615,23458,12055.3,5.8,53.1,1410,91.3,4.9,4.3,1.2,24.1
04/06/2026,15:59:59,493376923,21309230,74936,12055.3,6.4,68.2,894,83.8,4.8,5.5,1.5,25.5
04/06/2026,16:00:29,493415384,21303846,83480,12055.3,6.6,73.1,1099,86.3,4.6,4.1,1.0,26.5
04/06/2026,16:00:59,493453846,21298461,101524,12055.3,5.4,54.8,829,91.0,4.2,5.1,1.5,25.8
04/06/2026,16:01:29,493492307,21293076,32882,12055.3,7.4,58.2,1341,76.6,4.0,4.0,2.0,26.4
04/06/2026,16:01:59,493530769,21287692,31349,12055.3,4.9,75.2,1390,80.4,4.9,4.8,1.1,26.7
04/06/2026,16:02:29,493569230,21282307,91706,12055.3,5.4,79.2,1590,78.0,3.7,3.5,1.0,25.7
04/06/2026,16:02:59,493607692,21276923,99385,12055.3,6.5,48.9,1646,91.3,4.3,5.1,2.5,27.5
04/06/2026,16:03:29,493646153,21271538,22600,12055.4,5.0,41.8,1029,92.4,4.4,4.6,2.0,25.1
04/06/2026,16:03:59,493684615,21266153,108870,12055.4,5.8,42.9,1499,85.8,4.3,4.3,2.2,26.7
04/06/2026,16:04:29,493723076,21260769,33463,12055.4,6.3,70.1,956,81.8,3.9,3.9,1.8,25.8
04/06/2026,16:04:59,493761538,21255384,101143,12055.4,6.6,53.8,1420,85.7,4.7,4.4,1.2,24.8
04/06/2026,16:05:29,493800000,21250000,93278,12055.4,6.4,72.3,1522,76.1,4.9,4.3,1.7,27.1
04/06/2026,16:05:59,493800000,21250000,67794,12055.4,6.1,64.3,1445,84.8,4.6,4.4,1.7,27.4
04/06/2026,16:06:29,493838461,21246153,98641,12055.4,4.8,63.1,1034,84.8,4.5,4.7,1.2,25.6
04/06/2026,16:06:59,493876923,21242307,102973,12055.4,5.4,48.9,1429,89.0,4.9,5.2,2.1,24.7
04/06/2026,16:07:29,493915384,21238461,98384,12055.4,6.6,77.8,1447,82.1,4.2,4.1,1.0,24.2
04/06/2026,16:07:59,493953846,21234615,85722,12055.4,6.0,41.8,1499,80.0,5.2,4.6,2.3,26.7
04/06/2026,16:08:29,493992307,21230769,30368,12055.5,7.1,64.8,1624,85.2,4.2,5.0,1.1,26.3
04/06/2026,16:08:59,494030769,21226923,61836,12055.5,5.5,49.3,1338,93.0,3.5,3.9,2.1,27.3
04/06/2026,16:09:29,494069230,21223076,29276,12055.5,7.1,66.2,1695,91.9,3.7,4.9,2.5,26.0
04/06/2026,16:09:59,494107692,21219230,88583,12055.5,7.0,71.4,1589,83.6,5.2,4.7,1.4,27.3
04/06/2026,16:10:29,494146153,21215384,28167,12055.5,5.2,76.2,1054,75.8,4.8,5.3,1.8,26.3
04/06/2026,16:10:59,494184615,21211538,25091,12055.5,5.5,53.8,1417,75.8,4.5,3.5,1.0,24.8
04/06/2026,16:11:29,494223076,21207692,67748,12055.5,5.0,68.1,1774,93.9,5.3,5.1,1.6,25.2
04/06/2026,16:11:59,494261538,21203846,117070,12055.5,4.7,45.5,1449,89.3,3.6,3.8,2.3,26.0
04/06/2026,16:12:29,494300000,21200000,53847,12055.5,6.4,51.2,1430,78.5,3.9,5.2,1.5,26.4
04/06/2026,16:12:59,494300000,21200000,52846,12055.5,5.3,73.0,1120,91.7,3.6,4.8,2.1,25.5
04/06/2026,16:13:29,494338461,21196153,21622,12055.5,6.2,40.1,1332,89.6,4.0,4.9,1.2,25.3
04/06/2026,16:13:59,494376923,21192307,119147,12055.6,4.9,40.8,1078,87.8,5.3,5.5,1.3,25.1
04/06/2026,16:14:29,494415384,21188461,33970,12055.6,7.3,66.8,976,94.8,4.2,4.8,1.1,25.3
04/06/2026,16:14:59,494453846,21184615,70315,12055.6,5.9,68.1,805,76.0,3.8,3.8,2.3,26.5
04/06/2026,16:15:29,494492307,21180769,47655,12055.6,4.8,55.0,1376,84.2,3.8,4.7,1.6,26.6
04/06/2026,16:15:59,494530769,21176923,64036,12055.6,5.3,73.9,1499,91.3,3.7,4.2,1.3,25.6
04/06/2026,16:16:29,494569230,21173076,56516,12055.6,5.8,54.1,1116,88.9,5.1,4.9,2.5,27.4
04/06/2026,16:16:59,494607692,21169230,25216,12055.6,6.8,57.3,1745,93.6,4.7,3.5,1.5,24.0
04/06/2026,16:17:29,494646153,21165384,78133,12055.6,6.0,42.6,1727,82.0,5.1,3.9,2.0,26.4
04/06/2026,16:17:59,494684615,21161538,71599,12055.6,6.3,50.9,1551,76.4,3.5,3.7,1.9,25.7
04/06/2026,16:18:29,494723076,21157692,42683,12055.6,6.3,66.2,1537,88.4,4.4,4.9,1.6,27.0
04/06/2026,16:18:59,494761538,21153846,87067,12055.7,5.7,69.8,1265,88.7,4.1,5.2,2.3,27.5
04/06/2026,16:19:29,494799999,21150000,114180,12055.7,5.1,71.1,1054,80.5,3.9,3.7,1.8,26.7
04/06/2026,16:19:59,494799999,21150000,79729,12055.7,6.4,53.3,1546,81.3,5.1,4.1,2.0,27.5
04/06/2026,16:20:29,494838461,21144615,110060,12055.7,6.4,60.1,923,80.1,5.1,5.5,2.4,26.6
04/06/2026,16:20:59,494876923,21139230,86288,12055.7,6.0,63.3,1213,80.7,3.9,4.8,1.3,27.9
04/06/2026,16:21:29,494915384,21133846,83731,12055.7,5.7,42.3,1428,90.7,3.9,3.5,1.1,26.4
04/06/2026,16:21:59,494953846,21128461,90277,12055.7,6.1,44.2,1046,80.9,5.4,3.6,1.8,26.0
04/06/2026,16:22:29,494992307,21123076,23918,12055.7,5.3,50.6,1430,88.5,4.6,5.4,1.2,24.5
04/06/2026,16:22:59,495030769,21117692,102251,12055.7,5.5,76.5,1350,80.2,5.2,3.6,1.4,25.8
04/06/2026,16:23:29,495069230,21112307,99529,12055.8,5.8,41.0,1580,79.5,3.8,3.9,2.5,24.0
04/06/2026,16:23:59,495107692,21106923,80265,12055.8,6.8,72.2,1577,78.3,5.1,4.4,1.2,24.1
04/06/2026,16:24:29,495146153,21101538,53820,12055.8,6.1,60.1,1314,93.3,4.6,3.8,2.3,24.1
04/06/2026,16:24:59,495184615,21096153,57391,12055.8,7.3,78.0,993,76.0,3.9,3.8,1.1,26.0
04/06/2026,16:25:29,495223076,21090769,83161,12055.8,6.8,58.9,1288,79.3,5.3,3.9,2.3,27.0
04/06/2026,16:25:59,495261538,21085384,60015,12055.8,4.7,72.2,1050,92.3,3.9,5.3,1.8,25.8
04/06/2026,16:26:29,495300000,21080000,92610,12055.8,5.6,42.8,1332,93.1,4.2,5.4,2.1,27.4
04/06/2026,16:26:59,495300000,21080000,97308,12055.8,6.9,69.2,1780,82.6,4.3,3.7,1.4,24.1
04/06/2026,16:27:29,495338461,21073846,86251,12055.8,6.6,71.6,1316,91.0,5.3,4.1,2.4,24.2
04/06/2026,16:27:59,495376923,21067692,118098,12055.8,5.9,73.7,1317,94.0,4.5,4.3,2.4,26.1
04/06/2026,16:28:29,495415384,21061538,58217,12055.9,6.2,55.5,868,78.0,4.3,5.0,2.3,26.0
